,DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,CLOUD_COVER,HUMIDITY,PRESSURE,WINDSPEED,,,,,,,,
0,15/5/2020 0:00,0,0,0,0,25.18431613,22.8575074,48,41.7,1005.64,2.48,,,,,,,,
1,15/5/2020 0:15,0,0,0,0,25.08458867,22.76166787,48,41.7,1005.64,2.48,,,,,,,,
2,15/5/2020 0:30,0,0,0,0,24.9357526,22.59230553,48,41.7,1005.64,2.48,,,,,,,,
3,15/5/2020 0:45,0,0,0,0,24.8461304,22.36085213,48,41.7,1005.64,2.48,,,,,,,,
4,15/5/2020 1:00,0,0,0,0,24.62152536,22.16542264,48.17,40.7,1006.13,3.19,,,,,,,,
5,15/5/2020 1:15,0,0,0,0,24.5360922,21.96857087,48.17,40.7,1006.13,3.19,,,,,,,,
6,15/5/2020 1:30,0,0,0,0,24.63867387,22.35292567,48.17,40.7,1006.13,3.19,,,,,,,,
7,15/5/2020 1:45,0,0,0,0,24.87302233,23.1609192,48.17,40.7,1006.13,3.19,,,,,,,,
8,15/5/2020 2:00,0,0,0,0,24.93693047,23.026113,48.33,39.7,1006.61,3.91,,,,,,,,
9,15/5/2020 2:15,0,0,0,0,25.0122476,23.34322927,48.33,39.7,1006.61,3.91,,,,,,,,
10,15/5/2020 2:30,0,0,0,0,25.00514933,23.63945927,48.33,39.7,1006.61,3.91,,,,,,,,
11,15/5/2020 2:45,0,0,0,0,24.99301953,24.0394858,48.33,39.7,1006.61,3.91,,,,,,,,
12,15/5/2020 3:00,0,0,0,0,25.01630943,24.38413557,48.5,38.7,1007.1,4.62,,,,,,,,
13,15/5/2020 3:15,0,0,0,0,24.98521527,24.35150773,48.5,38.7,1007.1,4.62,,,,,,,,
14,15/5/2020 3:30,0,0,0,0,24.93773193,24.06029653,48.5,38.7,1007.1,4.62,,,,,,,,
15,15/5/2020 3:45,0,0,0,0,24.87909953,23.70979413,48.5,38.7,1007.1,4.62,,,,,,,,
16,15/5/2020 4:00,0,0,0,0,24.6789022,22.58994153,48.67,33.27,1006.52,4.69,,,,,,,,
17,15/5/2020 4:15,0,0,0,0,24.3519308,21.78364253,48.67,33.27,1006.52,4.69,,,,,,,,
18,15/5/2020 4:30,0,0,0,0,24.0626222,21.85252493,48.67,33.27,1006.52,4.69,,,,,,,,
19,15/5/2020 4:45,0,0,0,0,24.0132242,22.306315,48.67,33.27,1006.52,4.69,,,,,,,,
20,15/5/2020 5:00,0,0,0,0,24.1771058,22.55190847,48.83,27.83,1005.94,4.76,,,,,,,,
21,15/5/2020 5:15,0,0,0,0,24.304888,22.97949207,48.83,27.83,1005.94,4.76,,,,,,,,
22,15/5/2020 5:30,0,0,0,0,24.32872727,23.45238047,48.83,27.83,1005.94,4.76,,,,,,,,
23,15/5/2020 5:45,0,0,0,0.000862721,24.28921113,23.09669193,48.83,27.83,1005.94,4.76,,,,,,,,
24,15/5/2020 6:00,942.1488095,90.92916667,0,0.005886957,24.08844607,22.2067566,49,22.4,1005.36,4.83,,,,,,,,
25,15/5/2020 6:15,6142.10119,593.3386905,61.26190476,0.022281607,24.01163527,22.35345867,49,22.4,1005.36,4.83,,,,,,,,
26,15/5/2020 6:30,15271.15476,1480.194643,324.5297619,0.049409724,23.97673127,22.893282,49,22.4,1005.36,4.83,,,,,,,,
27,15/5/2020 6:45,28626.58929,2790.448214,819.5059524,0.095394454,24.21899,24.44244393,49,22.4,1005.36,4.83,,,,,,,,
28,15/5/2020 7:00,41345.91429,4052.662143,1717.75,0.141940443,24.5373984,27.18565287,41.83,21.37,1004.13,4.59,,,,,,,,
29,15/5/2020 7:15,44564.20833,4368.722619,2751.97619,0.154712676,24.8159595,28.88847786,41.83,21.37,1004.13,4.59,,,,,,,,
30,15/5/2020 7:30,43619.29167,4275.935119,3850.375,0.148799153,24.98878987,29.6056438,41.83,21.37,1004.13,4.59,,,,,,,,
31,15/5/2020 7:45,44395.89286,4352.094643,4888.428572,0.144793419,25.21618033,29.54711093,41.83,21.37,1004.13,4.59,,,,,,,,
32,15/5/2020 8:00,64834.80357,6365.608929,6160.821429,0.201638621,25.41951307,31.41254473,34.67,20.33,1002.91,4.36,,,,,,,,
33,15/5/2020 8:15,101937.1571,10002.06464,8229.207143,0.345707653,25.95908213,35.5287108,34.67,20.33,1002.91,4.36,,,,,,,,
34,15/5/2020 8:30,112129.5655,10995.60298,10969.9881,0.405348573,26.43078207,40.3180586,34.67,20.33,1002.91,4.36,,,,,,,,
35,15/5/2020 8:45,92505.46429,9080.067857,13269.51786,0.312426795,26.8318298,39.08195373,34.67,20.33,1002.91,4.36,,,,,,,,
36,15/5/2020 9:00,165598.8929,16211.35,16593.17857,0.623152649,27.6209698,45.0092326,27.5,19.3,1001.68,4.12,,,,,,,,
37,15/5/2020 9:15,98826.01786,9692.832143,19980.98214,0.344884036,27.98836207,46.6177065,27.5,19.3,1001.68,4.12,,,,,,,,
38,15/5/2020 9:30,76522.25,7511.4,21888.89286,0.2492484,27.51672787,39.136326,27.5,19.3,1001.68,4.12,,,,,,,,
39,15/5/2020 9:45,161370.0357,15793.1125,24533.38095,0.541205977,27.45010767,40.93057693,27.5,19.3,1001.68,4.12,,,,,,,,
40,15/5/2020 10:00,183026.2143,17896.79821,29346.73214,0.670675372,28.63219187,52.5477356,20.33,20.77,1001.35,4.68,,,,,,,,
41,15/5/2020 10:15,158716.5536,15531.95,32973.53571,0.572283477,28.76891273,47.633738,20.33,20.77,1001.35,4.68,,,,,,,,
42,15/5/2020 10:30,129103.6357,12648.59179,36823.175,0.455148383,29.3514426,49.24972327,20.33,20.77,1001.35,4.68,,,,,,,,
43,15/5/2020 10:45,113123.1429,11091.62893,39799.29286,0.361961654,28.85470787,44.0483256,20.33,20.77,1001.35,4.68,,,,,,,,
44,15/5/2020 11:00,193768.0357,18936.55928,43389.95357,0.636560881,29.41081933,47.6854534,13.17,22.23,1001.02,5.25,,,,,,,,
45,15/5/2020 11:15,160301.2262,15683.71369,47752.7619,0.585787214,30.21606229,50.00698857,13.17,22.23,1001.02,5.25,,,,,,,,
46,15/5/2020 11:30,155409.1607,15207.28393,51726.05357,0.557069383,30.2870728,49.8413636,13.17,22.23,1001.02,5.25,,,,,,,,
47,15/5/2020 11:45,167668.1964,16401.58929,55271.10714,0.467986869,30.81104933,47.8363832,13.17,22.23,1001.02,5.25,,,,,,,,
48,15/5/2020 12:00,155821.6964,15250.80833,59620.94643,0.514962587,31.30537507,49.18358353,6,23.7,1000.69,5.81,,,,,,,,
49,15/5/2020 12:15,209569.3988,20477.01786,63932.30357,0.787866029,31.50729773,49.84449267,6,23.7,1000.69,5.81,,,,,,,,
50,15/5/2020 12:30,197884.5,19341.70714,69163.07143,0.649247629,32.14768473,52.35325513,6,23.7,1000.69,5.81,,,,,,,,
51,15/5/2020 12:45,209419.2381,20470.89762,73879.19643,0.761243312,32.3914204,50.63123993,6,23.7,1000.69,5.81,,,,,,,,
52,15/5/2020 13:00,129842.3571,12721.87679,77961.32143,0.416035101,32.62279607,49.61076771,15,25.7,1001.58,4.45,,,,,,,,
53,15/5/2020 13:15,149740.5536,14665.98571,81491.80357,0.489243946,32.49706447,47.01116133,15,25.7,1001.58,4.45,,,,,,,,
54,15/5/2020 13:30,175573.4643,17185.65893,85448.92857,0.574561224,32.5246214,46.66986293,15,25.7,1001.58,4.45,,,,,,,,
55,15/5/2020 13:45,170970.5893,16736.74286,89618.46429,0.560985624,32.67847087,47.51688413,15,25.7,1001.58,4.45,,,,,,,,
56,15/5/2020 14:00,222438.7143,21747.06607,94351.83929,0.735083463,33.7631854,49.80390433,24,27.7,1002.47,3.09,,,,,,,,
57,15/5/2020 14:15,259813.2857,25352.54643,100265.4643,0.893661491,34.13076993,55.030613,24,27.7,1002.47,3.09,,,,,,,,
58,15/5/2020 14:30,142901.9321,13989.19607,105649.5071,0.466788824,34.08138427,54.51913673,24,27.7,1002.47,3.09,,,,,,,,
59,15/5/2020 14:45,160715.5298,15723.05536,108951.8988,0.542138496,33.69572221,47.61819464,24,27.7,1002.47,3.09,,,,,,,,
60,15/5/2020 15:00,128604.375,12603.76607,112657.625,0.398888543,33.89057607,46.0290812,33,29.7,1003.36,1.73,,,,,,,,
61,15/5/2020 15:15,143255.1429,14031.02679,115986,0.447292149,34.043744,44.28609193,33,29.7,1003.36,1.73,,,,,,,,
62,15/5/2020 15:30,166946.3214,16342.91964,119794.5238,0.565196397,34.40285233,46.7442812,33,29.7,1003.36,1.73,,,,,,,,
63,15/5/2020 15:45,107547.1607,10543.76607,122858.381,0.346230693,34.43094267,43.9206158,33,29.7,1003.36,1.73,,,,,,,,
64,15/5/2020 16:00,109120.6786,10704.02321,125887.7679,0.35818237,34.38115033,43.33285333,42,29.43,1003.86,1.62,,,,,,,,
65,15/5/2020 16:15,99493.01786,9763.446429,128208.5357,0.328896119,34.12625693,41.00743193,42,29.43,1003.86,1.62,,,,,,,,
66,15/5/2020 16:30,104079.6071,10210.66429,130816.0179,0.344954196,34.35660993,41.28059067,42,29.43,1003.86,1.62,,,,,,,,
67,15/5/2020 16:45,77777.19643,7643.759524,133059.1667,0.260346758,33.86159653,39.41907593,42,29.43,1003.86,1.62,,,,,,,,
68,15/5/2020 17:00,49913.76786,4894.992857,134620.8393,0.166812741,33.44331357,36.82670364,51,29.17,1004.36,1.5,,,,,,,,
69,15/5/2020 17:15,49718.66072,4875.005357,135859.3036,0.173898637,33.30025473,35.8522074,51,29.17,1004.36,1.5,,,,,,,,
70,15/5/2020 17:30,26248.83333,2558.016667,136646.75,0.08716189,33.0321222,34.3384004,51,29.17,1004.36,1.5,,,,,,,,
71,15/5/2020 17:45,11391.25,1102.005357,137121.8571,0.038403034,32.31187113,31.54853933,51,29.17,1004.36,1.5,,,,,,,,
72,15/5/2020 18:00,6505,628.3767857,137350.4464,0.022544936,31.13241364,30.225331,60,28.9,1004.86,1.39,,,,,,,,
73,15/5/2020 18:15,2199.217857,212.1517857,137449.6071,0.009149945,29.24311093,28.6825074,60,28.9,1004.86,1.39,,,,,,,,
74,15/5/2020 18:30,0,0,137473,0.001841025,28.495518,27.28599227,60,28.9,1004.86,1.39,,,,,,,,
75,15/5/2020 18:45,0,0,137473,0,27.8840638,25.96194653,60,28.9,1004.86,1.39,,,,,,,,
76,15/5/2020 19:00,0,0,87463,0,27.4559754,25.38531307,55.5,31.87,1004.44,2.6,,,,,,,,
77,15/5/2020 19:15,0,0,87463,0,27.0975484,25.2008464,55.5,31.87,1004.44,2.6,,,,,,,,
78,15/5/2020 19:30,0,0,87463,0.000125383,27.01870113,25.74526773,55.5,31.87,1004.44,2.6,,,,,,,,
79,15/5/2020 19:45,0,0,87463,0.00010022,23.78723747,22.5114056,55.5,31.87,1004.44,2.6,,,,,,,,
80,15/5/2020 20:00,0,0,87463,0,22.66317964,20.29072571,51,34.83,1004.01,3.81,,,,,,,,
81,15/5/2020 20:15,0,0,87463,0,23.41209707,20.73659667,51,34.83,1004.01,3.81,,,,,,,,
82,15/5/2020 20:30,0,0,87463,0,22.30098867,20.37541693,51,34.83,1004.01,3.81,,,,,,,,
83,15/5/2020 20:45,0,0,87463,0,22.0374816,20.31280513,51,34.83,1004.01,3.81,,,,,,,,
84,15/5/2020 21:00,0,0,87463,0,22.16851807,20.6512674,46.5,37.8,1003.59,5.02,,,,,,,,
85,15/5/2020 21:15,0,0,87463,0,22.1193604,20.6320862,46.5,37.8,1003.59,5.02,,,,,,,,
86,15/5/2020 21:30,0,0,87463,0,22.22125033,20.75869967,46.5,37.8,1003.59,5.02,,,,,,,,
